# Logfile created on 2020-10-10 06:43:29 +0000 by logger.rb/66358
[2020-10-10T06:43:29+00:00] INFO: Started Chef Infra Zero at chefzero://localhost:1 with repository at /opt/gitlab/embedded
  One version per cookbook

[2020-10-10T06:43:29+00:00] INFO: *** Chef Infra Client 15.12.22 ***
[2020-10-10T06:43:31+00:00] INFO: Storing updated cookbooks/gitlab/resources/puma_config.rb in the cache.
[2020-10-10T06:43:31+00:00] INFO: Storing updated cookbooks/gitlab/metadata.rb in the cache.
[2020-10-10T06:43:31+00:00] INFO: Storing updated cookbooks/gitlab/recipes/gitlab-pages_disable.rb in the cache.
[2020-10-10T06:43:31+00:00] INFO: Storing updated cookbooks/gitlab/recipes/actioncable.rb in the cache.
[2020-10-10T06:43:31+00:00] INFO: Storing updated cookbooks/gitlab/recipes/gitlab-rails.rb in the cache.
[2020-10-10T06:43:31+00:00] INFO: Storing updated cookbooks/gitlab/recipes/gitlab-shell.rb in the cache.
[2020-10-10T06:43:31+00:00] INFO: Storing updated cookbooks/gitlab/recipes/database_migrations.rb in the cache.
[2020-10-10T06:43:31+00:00] INFO: Storing updated cookbooks/gitlab/recipes/gitlab-workhorse_disable.rb in the cache.
[2020-10-10T06:43:31+00:00] INFO: Storing updated cookbooks/gitlab/recipes/default.rb in the cache.
[2020-10-10T06:43:31+00:00] INFO: Storing updated cookbooks/gitlab/recipes/logrotate.rb in the cache.
[2020-10-10T06:43:31+00:00] INFO: Storing updated cookbooks/gitlab/recipes/gitlab-pages.rb in the cache.
[2020-10-10T06:43:31+00:00] INFO: Storing updated cookbooks/gitlab/recipes/gitlab-healthcheck.rb in the cache.
[2020-10-10T06:43:31+00:00] INFO: Storing updated cookbooks/gitlab/recipes/letsencrypt_renew.rb in the cache.
[2020-10-10T06:43:31+00:00] INFO: Storing updated cookbooks/gitlab/recipes/config.rb in the cache.
[2020-10-10T06:43:31+00:00] INFO: Storing updated cookbooks/gitlab/recipes/mailroom_disable.rb in the cache.
[2020-10-10T06:43:31+00:00] INFO: Storing updated cookbooks/gitlab/recipes/nginx.rb in the cache.
[2020-10-10T06:43:31+00:00] INFO: Storing updated cookbooks/gitlab/resources/sidekiq_service.rb in the cache.
[2020-10-10T06:43:31+00:00] INFO: Storing updated cookbooks/gitlab/recipes/logrotate_disable.rb in the cache.
[2020-10-10T06:43:31+00:00] INFO: Storing updated cookbooks/gitlab/recipes/logrotate_folders_and_configs.rb in the cache.
[2020-10-10T06:43:31+00:00] INFO: Storing updated cookbooks/gitlab/resources/unicorn_service.rb in the cache.
[2020-10-10T06:43:31+00:00] INFO: Storing updated cookbooks/gitlab/recipes/remote-syslog_disable.rb in the cache.
[2020-10-10T06:43:31+00:00] INFO: Storing updated cookbooks/gitlab/recipes/bootstrap_disable.rb in the cache.
[2020-10-10T06:43:31+00:00] INFO: Storing updated cookbooks/gitlab/recipes/selinux.rb in the cache.
[2020-10-10T06:43:31+00:00] INFO: Storing updated cookbooks/gitlab/recipes/puma.rb in the cache.
[2020-10-10T06:43:31+00:00] INFO: Storing updated cookbooks/gitlab/recipes/puma_disable.rb in the cache.
[2020-10-10T06:43:31+00:00] INFO: Storing updated cookbooks/gitlab/recipes/sidekiq.rb in the cache.
[2020-10-10T06:43:31+00:00] INFO: Storing updated cookbooks/gitlab/recipes/mailroom.rb in the cache.
[2020-10-10T06:43:31+00:00] INFO: Storing updated cookbooks/gitlab/recipes/remote-syslog.rb in the cache.
[2020-10-10T06:43:31+00:00] INFO: Storing updated cookbooks/gitlab/recipes/remove_accounts.rb in the cache.
[2020-10-10T06:43:31+00:00] INFO: Storing updated cookbooks/gitlab/recipes/show_config.rb in the cache.
[2020-10-10T06:43:31+00:00] INFO: Storing updated cookbooks/gitlab/recipes/gitlab-workhorse.rb in the cache.
[2020-10-10T06:43:31+00:00] INFO: Storing updated cookbooks/gitlab/recipes/web-server.rb in the cache.
[2020-10-10T06:43:31+00:00] INFO: Storing updated cookbooks/gitlab/recipes/nginx_disable.rb in the cache.
[2020-10-10T06:43:31+00:00] INFO: Storing updated cookbooks/gitlab/libraries/actioncable.rb in the cache.
[2020-10-10T06:43:31+00:00] INFO: Storing updated cookbooks/gitlab/recipes/sidekiq_disable.rb in the cache.
[2020-10-10T06:43:31+00:00] INFO: Storing updated cookbooks/gitlab/libraries/gitlab_exporter.rb in the cache.
[2020-10-10T06:43:31+00:00] INFO: Storing updated cookbooks/gitlab/libraries/gitlab_mattermost.rb in the cache.
[2020-10-10T06:43:31+00:00] INFO: Storing updated cookbooks/gitlab/libraries/gitlab_pages.rb in the cache.
[2020-10-10T06:43:31+00:00] INFO: Storing updated cookbooks/gitlab/recipes/unicorn_disable.rb in the cache.
[2020-10-10T06:43:31+00:00] INFO: Storing updated cookbooks/gitlab/libraries/gitlab_rails.rb in the cache.
[2020-10-10T06:43:31+00:00] INFO: Storing updated cookbooks/gitlab/recipes/sidekiq-cluster_disable.rb in the cache.
[2020-10-10T06:43:31+00:00] INFO: Storing updated cookbooks/gitlab/libraries/account_helper.rb in the cache.
[2020-10-10T06:43:31+00:00] INFO: Storing updated cookbooks/gitlab/recipes/storage-check_disable.rb in the cache.
[2020-10-10T06:43:31+00:00] INFO: Storing updated cookbooks/gitlab/recipes/storage-check.rb in the cache.
[2020-10-10T06:43:31+00:00] INFO: Storing updated cookbooks/gitlab/recipes/unicorn.rb in the cache.
[2020-10-10T06:43:31+00:00] INFO: Storing updated cookbooks/gitlab/libraries/helpers/geo_pg_helper.rb in the cache.
[2020-10-10T06:43:31+00:00] INFO: Storing updated cookbooks/gitlab/recipes/sidekiq-cluster.rb in the cache.
[2020-10-10T06:43:31+00:00] INFO: Storing updated cookbooks/gitlab/libraries/helpers/grafana_helper.rb in the cache.
[2020-10-10T06:43:31+00:00] INFO: Storing updated cookbooks/gitlab/libraries/gitlab_workhorse.rb in the cache.
[2020-10-10T06:43:31+00:00] INFO: Storing updated cookbooks/gitlab/libraries/helper.rb in the cache.
[2020-10-10T06:43:31+00:00] INFO: Storing updated cookbooks/gitlab/libraries/helpers/authorizer_helper.rb in the cache.
[2020-10-10T06:43:31+00:00] INFO: Storing updated cookbooks/gitlab/libraries/helpers/base_pg_helper.rb in the cache.
[2020-10-10T06:43:31+00:00] INFO: Storing updated cookbooks/gitlab/recipes/users.rb in the cache.
[2020-10-10T06:43:31+00:00] INFO: Storing updated cookbooks/gitlab/libraries/patroni.rb in the cache.
[2020-10-10T06:43:31+00:00] INFO: Storing updated cookbooks/gitlab/libraries/gitlab_shell.rb in the cache.
[2020-10-10T06:43:31+00:00] INFO: Storing updated cookbooks/gitlab/libraries/pg_version.rb in the cache.
[2020-10-10T06:43:31+00:00] INFO: Storing updated cookbooks/gitlab/libraries/nginx.rb in the cache.
[2020-10-10T06:43:31+00:00] INFO: Storing updated cookbooks/gitlab/libraries/puma.rb in the cache.
[2020-10-10T06:43:31+00:00] INFO: Storing updated cookbooks/gitlab/libraries/logging.rb in the cache.
[2020-10-10T06:43:31+00:00] INFO: Storing updated cookbooks/gitlab/libraries/redis_uri.rb in the cache.
[2020-10-10T06:43:31+00:00] INFO: Storing updated cookbooks/gitlab/libraries/registry.rb in the cache.
[2020-10-10T06:43:31+00:00] INFO: Storing updated cookbooks/gitlab/libraries/redis_helper.rb in the cache.
[2020-10-10T06:43:31+00:00] INFO: Storing updated cookbooks/gitlab/libraries/helpers/pg_helper.rb in the cache.
[2020-10-10T06:43:31+00:00] INFO: Storing updated cookbooks/gitlab/libraries/postgresql.rb in the cache.
[2020-10-10T06:43:31+00:00] INFO: Storing updated cookbooks/gitlab/libraries/helpers/base_helper.rb in the cache.
[2020-10-10T06:43:31+00:00] INFO: Storing updated cookbooks/gitlab/libraries/incoming_email.rb in the cache.
[2020-10-10T06:43:31+00:00] INFO: Storing updated cookbooks/gitlab/libraries/logrotate_helper.rb in the cache.
[2020-10-10T06:43:31+00:00] INFO: Storing updated cookbooks/gitlab/attributes/default.rb in the cache.
[2020-10-10T06:43:31+00:00] INFO: Storing updated cookbooks/gitlab/libraries/unicorn.rb in the cache.
[2020-10-10T06:43:31+00:00] INFO: Storing updated cookbooks/gitlab/libraries/helpers/web_server_helper.rb in the cache.
[2020-10-10T06:43:31+00:00] INFO: Storing updated cookbooks/gitlab/libraries/sidekiq.rb in the cache.
[2020-10-10T06:43:31+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/gitlab-pages-config.erb in the cache.
[2020-10-10T06:43:31+00:00] INFO: Storing updated cookbooks/gitlab/libraries/sidekiq_cluster.rb in the cache.
[2020-10-10T06:43:31+00:00] INFO: Storing updated cookbooks/gitlab/libraries/helpers/gitlab_rails.rb in the cache.
[2020-10-10T06:43:31+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/gitlab-rails-error.html.erb in the cache.
[2020-10-10T06:43:31+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/gitlab-rails-rc.erb in the cache.
[2020-10-10T06:43:31+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/database.yml.erb in the cache.
[2020-10-10T06:43:31+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/logrotate-service.erb in the cache.
[2020-10-10T06:43:31+00:00] INFO: Storing updated cookbooks/gitlab/libraries/storage_check.rb in the cache.
[2020-10-10T06:43:31+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/mount_point_check.erb in the cache.
[2020-10-10T06:43:31+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/gitconfig.erb in the cache.
[2020-10-10T06:43:31+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/nginx-gitlab-health.conf.erb in the cache.
[2020-10-10T06:43:31+00:00] INFO: Storing updated cookbooks/gitlab/libraries/redis.rb in the cache.
[2020-10-10T06:43:31+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/gitconfig-system.erb in the cache.
[2020-10-10T06:43:31+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/gitlab-shell-config.yml.erb in the cache.
[2020-10-10T06:43:31+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/nginx-gitlab-pages-http.conf.erb in the cache.
[2020-10-10T06:43:31+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/logrotate.conf.erb in the cache.
[2020-10-10T06:43:31+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/gitlab-healthcheck-rc.erb in the cache.
[2020-10-10T06:43:31+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/nginx-status.conf.erb in the cache.
[2020-10-10T06:43:31+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/nginx-gitlab-mattermost-http.conf.erb in the cache.
[2020-10-10T06:43:31+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/nginx-gitlab-http.conf.erb in the cache.
[2020-10-10T06:43:31+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/remote_syslog.yml.erb in the cache.
[2020-10-10T06:43:31+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/nginx-gitlab-registry-http.conf.erb in the cache.
[2020-10-10T06:43:31+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/gitlab.yml.erb in the cache.
[2020-10-10T06:43:31+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/puma.rb.erb in the cache.
[2020-10-10T06:43:31+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/cable.yml.erb in the cache.
[2020-10-10T06:43:31+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-actioncable-log-run.erb in the cache.
[2020-10-10T06:43:31+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-actioncable-run.erb in the cache.
[2020-10-10T06:43:31+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/make_metrics_rundir.erb in the cache.
[2020-10-10T06:43:31+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/secret_token.erb in the cache.
[2020-10-10T06:43:31+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-gitlab-pages-log-config.erb in the cache.
[2020-10-10T06:43:31+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/secrets.yml.erb in the cache.
[2020-10-10T06:43:31+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-gitlab-pages-run.erb in the cache.
[2020-10-10T06:43:31+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-gitlab-workhorse-log-run.erb in the cache.
[2020-10-10T06:43:31+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/nginx.conf.erb in the cache.
[2020-10-10T06:43:31+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-logrotate-log-config.erb in the cache.
[2020-10-10T06:43:31+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-actioncable-t.erb in the cache.
[2020-10-10T06:43:31+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/smtp_settings.rb.erb in the cache.
[2020-10-10T06:43:31+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-mailroom-finish.erb in the cache.
[2020-10-10T06:43:31+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-actioncable-log-config.erb in the cache.
[2020-10-10T06:43:31+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-actioncable-h.erb in the cache.
[2020-10-10T06:43:31+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-gitlab-workhorse-log-config.erb in the cache.
[2020-10-10T06:43:31+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/resque.yml.erb in the cache.
[2020-10-10T06:43:31+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-puma-h.erb in the cache.
[2020-10-10T06:43:31+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-logrotate-log-run.erb in the cache.
[2020-10-10T06:43:31+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-logrotate-run.erb in the cache.
[2020-10-10T06:43:31+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-logrotate-t.erb in the cache.
[2020-10-10T06:43:31+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-gitlab-pages-log-run.erb in the cache.
[2020-10-10T06:43:31+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-remote-syslog-log-config.erb in the cache.
[2020-10-10T06:43:31+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-remote-syslog-run.erb in the cache.
[2020-10-10T06:43:31+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-gitlab-workhorse-run.erb in the cache.
[2020-10-10T06:43:31+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-puma-log-run.erb in the cache.
[2020-10-10T06:43:31+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-puma-log-config.erb in the cache.
[2020-10-10T06:43:31+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-mailroom-run.erb in the cache.
[2020-10-10T06:43:31+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-puma-run.erb in the cache.
[2020-10-10T06:43:31+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-remote-syslog-log-run.erb in the cache.
[2020-10-10T06:43:31+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-mailroom-log-config.erb in the cache.
[2020-10-10T06:43:31+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-sidekiq-run.erb in the cache.
[2020-10-10T06:43:31+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-mailroom-log-run.erb in the cache.
[2020-10-10T06:43:31+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-sidekiq-cluster-log-config.erb in the cache.
[2020-10-10T06:43:31+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-unicorn-h.erb in the cache.
[2020-10-10T06:43:31+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-sidekiq-log-config.erb in the cache.
[2020-10-10T06:43:31+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-sidekiq-cluster-run.erb in the cache.
[2020-10-10T06:43:31+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-sidekiq-log-run.erb in the cache.
[2020-10-10T06:43:31+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-storage-check-log-config.erb in the cache.
[2020-10-10T06:43:31+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-unicorn-t.erb in the cache.
[2020-10-10T06:43:31+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-storage-check-log-run.erb in the cache.
[2020-10-10T06:43:31+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/workhorse-config.toml.erb in the cache.
[2020-10-10T06:43:31+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-sidekiq-cluster-log-run.erb in the cache.
[2020-10-10T06:43:31+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-unicorn-log-config.erb in the cache.
[2020-10-10T06:43:31+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-unicorn-log-run.erb in the cache.
[2020-10-10T06:43:31+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-unicorn-run.erb in the cache.
[2020-10-10T06:43:31+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/unicorn.rb.erb in the cache.
[2020-10-10T06:43:31+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-puma-t.erb in the cache.
[2020-10-10T06:43:32+00:00] INFO: Storing updated cookbooks/package/resources/env_dir.rb in the cache.
[2020-10-10T06:43:32+00:00] INFO: Storing updated cookbooks/package/resources/storage_directory.rb in the cache.
[2020-10-10T06:43:31+00:00] INFO: Storing updated cookbooks/package/files/default/gitlab-runsvdir.conf in the cache.
[2020-10-10T06:43:31+00:00] INFO: Storing updated cookbooks/package/resources/account.rb in the cache.
[2020-10-10T06:43:32+00:00] INFO: Storing updated cookbooks/package/resources/gitlab_sysctl.rb in the cache.
[2020-10-10T06:43:32+00:00] INFO: Storing updated cookbooks/package/recipes/sysctl.rb in the cache.
[2020-10-10T06:43:32+00:00] INFO: Storing updated cookbooks/package/resources/version_file.rb in the cache.
[2020-10-10T06:43:32+00:00] INFO: Storing updated cookbooks/package/recipes/runit_upstart.rb in the cache.
[2020-10-10T06:43:32+00:00] INFO: Storing updated cookbooks/package/resources/templatesymlink.rb in the cache.
[2020-10-10T06:43:32+00:00] INFO: Storing updated cookbooks/package/libraries/config/roles/default.rb in the cache.
[2020-10-10T06:43:32+00:00] INFO: Storing updated cookbooks/package/recipes/runit.rb in the cache.
[2020-10-10T06:43:32+00:00] INFO: Storing updated cookbooks/package/recipes/runit_sysvinit.rb in the cache.
[2020-10-10T06:43:31+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-storage-check-run.erb in the cache.
[2020-10-10T06:43:32+00:00] INFO: Storing updated cookbooks/package/libraries/config/roles/geo_secondary.rb in the cache.
[2020-10-10T06:43:32+00:00] INFO: Storing updated cookbooks/package/libraries/config/gitlab.rb in the cache.
[2020-10-10T06:43:31+00:00] INFO: Storing updated cookbooks/package/metadata.rb in the cache.
[2020-10-10T06:43:32+00:00] INFO: Storing updated cookbooks/package/libraries/config/roles/application.rb in the cache.
[2020-10-10T06:43:32+00:00] INFO: Storing updated cookbooks/package/libraries/config/services.rb in the cache.
[2020-10-10T06:43:32+00:00] INFO: Storing updated cookbooks/package/libraries/config/roles/consul.rb in the cache.
[2020-10-10T06:43:32+00:00] INFO: Storing updated cookbooks/package/libraries/config_mash.rb in the cache.
[2020-10-10T06:43:32+00:00] INFO: Storing updated cookbooks/package/libraries/certificate_helper.rb in the cache.
[2020-10-10T06:43:32+00:00] INFO: Storing updated cookbooks/package/libraries/config/roles/pgbouncer.rb in the cache.
[2020-10-10T06:43:32+00:00] INFO: Storing updated cookbooks/package/libraries/config/roles/postgres.rb in the cache.
[2020-10-10T06:43:32+00:00] INFO: Storing updated cookbooks/package/libraries/formatters/gitlab.rb in the cache.
[2020-10-10T06:43:32+00:00] INFO: Storing updated cookbooks/package/libraries/config/roles/monitoring.rb in the cache.
[2020-10-10T06:43:32+00:00] INFO: Storing updated cookbooks/package/recipes/runit_systemd.rb in the cache.
[2020-10-10T06:43:32+00:00] INFO: Storing updated cookbooks/package/libraries/config/roles/geo_primary.rb in the cache.
[2020-10-10T06:43:32+00:00] INFO: Storing updated cookbooks/package/libraries/helper.rb in the cache.
[2020-10-10T06:43:32+00:00] INFO: Storing updated cookbooks/package/libraries/deprecations.rb in the cache.
[2020-10-10T06:43:32+00:00] INFO: Storing updated cookbooks/package/libraries/handlers/gitlab.rb in the cache.
[2020-10-10T06:43:32+00:00] INFO: Storing updated cookbooks/package/libraries/helpers/services_helper.rb in the cache.
[2020-10-10T06:43:32+00:00] INFO: Storing updated cookbooks/package/libraries/helpers/logging_helper.rb in the cache.
[2020-10-10T06:43:32+00:00] INFO: Storing updated cookbooks/package/libraries/helpers/output_helper.rb in the cache.
[2020-10-10T06:43:32+00:00] INFO: Storing updated cookbooks/package/libraries/helpers/systemd_helper.rb in the cache.
[2020-10-10T06:43:32+00:00] INFO: Storing updated cookbooks/package/libraries/helpers/roles_helper.rb in the cache.
[2020-10-10T06:43:32+00:00] INFO: Storing updated cookbooks/package/libraries/object_proxy.rb in the cache.
[2020-10-10T06:43:32+00:00] INFO: Storing updated cookbooks/package/libraries/helpers/secrets_helper.rb in the cache.
[2020-10-10T06:43:32+00:00] INFO: Storing updated cookbooks/package/libraries/config/roles/redis_master.rb in the cache.
[2020-10-10T06:43:32+00:00] INFO: Storing updated cookbooks/package/libraries/helpers/selinux_helper.rb in the cache.
[2020-10-10T06:43:32+00:00] INFO: Storing updated cookbooks/package/libraries/helpers/shell_out_helper.rb in the cache.
[2020-10-10T06:43:32+00:00] INFO: Storing updated cookbooks/package/libraries/helpers/settings_helper.rb in the cache.
[2020-10-10T06:43:32+00:00] INFO: Storing updated cookbooks/package/libraries/config/roles/redis_sentinel.rb in the cache.
[2020-10-10T06:43:32+00:00] INFO: Storing updated cookbooks/package/libraries/helpers/redhat_helper.rb in the cache.
[2020-10-10T06:43:32+00:00] INFO: Storing updated cookbooks/package/libraries/storage_directory_helper.rb in the cache.
[2020-10-10T06:43:32+00:00] INFO: Storing updated cookbooks/package/libraries/package.rb in the cache.
[2020-10-10T06:43:32+00:00] INFO: Storing updated cookbooks/package/libraries/omnibus_helper.rb in the cache.
[2020-10-10T06:43:32+00:00] INFO: Storing updated cookbooks/package/attributes/default.rb in the cache.
[2020-10-10T06:43:32+00:00] INFO: Storing updated cookbooks/postgresql/resources/schema.rb in the cache.
[2020-10-10T06:43:32+00:00] INFO: Storing updated cookbooks/postgresql/resources/extension.rb in the cache.
[2020-10-10T06:43:32+00:00] INFO: Storing updated cookbooks/package/libraries/helpers/version_helper.rb in the cache.
[2020-10-10T06:43:32+00:00] INFO: Storing updated cookbooks/postgresql/recipes/disable.rb in the cache.
[2020-10-10T06:43:32+00:00] INFO: Storing updated cookbooks/postgresql/resources/config.rb in the cache.
[2020-10-10T06:43:32+00:00] INFO: Storing updated cookbooks/postgresql/metadata.rb in the cache.
[2020-10-10T06:43:32+00:00] INFO: Storing updated cookbooks/postgresql/attributes/default.rb in the cache.
[2020-10-10T06:43:32+00:00] INFO: Storing updated cookbooks/postgresql/templates/default/gitlab-psql-rc.erb in the cache.
[2020-10-10T06:43:32+00:00] INFO: Storing updated cookbooks/postgresql/recipes/user.rb in the cache.
[2020-10-10T06:43:32+00:00] INFO: Storing updated cookbooks/postgresql/resources/query.rb in the cache.
[2020-10-10T06:43:32+00:00] INFO: Storing updated cookbooks/package/templates/default/gitlab-runsvdir.service.erb in the cache.
[2020-10-10T06:43:32+00:00] INFO: Storing updated cookbooks/postgresql/recipes/enable.rb in the cache.
[2020-10-10T06:43:32+00:00] INFO: Storing updated cookbooks/postgresql/templates/default/postgresql.conf.erb in the cache.
[2020-10-10T06:43:32+00:00] INFO: Storing updated cookbooks/postgresql/recipes/directory_locations.rb in the cache.
[2020-10-10T06:43:32+00:00] INFO: Storing updated cookbooks/postgresql/templates/default/sv-postgresql-log-config.erb in the cache.
[2020-10-10T06:43:32+00:00] INFO: Storing updated cookbooks/postgresql/templates/default/pg_hba.conf.erb in the cache.
[2020-10-10T06:43:32+00:00] INFO: Storing updated cookbooks/redis/resources/service.rb in the cache.
[2020-10-10T06:43:32+00:00] INFO: Storing updated cookbooks/postgresql/templates/default/pg_ident.conf.erb in the cache.
[2020-10-10T06:43:32+00:00] INFO: Storing updated cookbooks/postgresql/resources/user.rb in the cache.
[2020-10-10T06:43:32+00:00] INFO: Storing updated cookbooks/redis/recipes/enable.rb in the cache.
[2020-10-10T06:43:32+00:00] INFO: Storing updated cookbooks/postgresql/templates/default/sv-postgresql-log-run.erb in the cache.
[2020-10-10T06:43:32+00:00] INFO: Storing updated cookbooks/postgresql/templates/default/sv-postgresql-run.erb in the cache.
[2020-10-10T06:43:32+00:00] INFO: Storing updated cookbooks/redis/metadata.rb in the cache.
[2020-10-10T06:43:32+00:00] INFO: Storing updated cookbooks/postgresql/templates/default/sv-postgresql-t.erb in the cache.
[2020-10-10T06:43:32+00:00] INFO: Storing updated cookbooks/redis/templates/default/sv-redis-log-run.erb in the cache.
[2020-10-10T06:43:32+00:00] INFO: Storing updated cookbooks/postgresql/resources/database.rb in the cache.
[2020-10-10T06:43:32+00:00] INFO: Storing updated cookbooks/monitoring/metadata.rb in the cache.
[2020-10-10T06:43:32+00:00] INFO: Storing updated cookbooks/redis/attributes/attributes.rb in the cache.
[2020-10-10T06:43:32+00:00] INFO: Storing updated cookbooks/monitoring/recipes/alertmanager_disable.rb in the cache.
[2020-10-10T06:43:32+00:00] INFO: Storing updated cookbooks/monitoring/recipes/default.rb in the cache.
[2020-10-10T06:43:32+00:00] INFO: Storing updated cookbooks/monitoring/recipes/gitlab-exporter.rb in the cache.
